artist,country,birth date,death date,gender,number of artworks
Louise Bourgeois,France,1911,2010,female,3410
Lilly Reich,Germany,1885,1947,female,850
Dorothea Lange,United States,1895,1965,female,483
Natalia Goncharova,Russia,1881,1962,female,292
Olga Rozanova,Russia,1886,1918,female,263
Elaine Lustig Cohen,United States,1927,2016,female,235
Marianne Wex,Germany,1937,2020,female,214
Sophie Calle,France,1953,,female,210
Flora Manteola,Argentina,1936,,female,201
Anni Albers,Germany,1899,1994,female,200
Kiki Smith,Germany,1954,,female,188
Josefa Santos,Argentina,1931,,female,184
Aleksandra Mir,Poland,1967,,female,176
Frances Benjamin Johnston,United States,1864,1952,female,160
Diane Arbus,United States,1923,1971,female,153
Mieko Shiomi,Japan,1938,,female,146
Cindy Sherman,United States,1954,,female,133
Yoko Ono,United States,,,female,127
Barbara Hepworth,United Kingdom,1903,1975,female,127
Elisabeth Frink,United Kingdom,1930,1993,female,127
LaToya Ruby Frazier,United States,1982,,female,126
Lauretta Vinciarelli,Italy,1943,2012,female,124
Alex Bag,United States,1969,,female,119
Rosemarie Trockel,Germany,1952,,female,118
Elizabeth Murray,United States,1940,2007,female,118
Yayoi Kusama,Japan,1929,,female,115
Sherrie Levine,United States,1947,,female,112
Claudia Andujar,United States,1931,,female,109
Ilse Bing,United States,1899,1998,female,106
Judith Joy Ross,United States,1946,,female,106
Faith Hubley,United States,1924,2001,female,104
Helen Frankenthaler,United States,1928,2011,female,104
Blanche Parker,United States,1902,1984,female,104
Fiona Banner,United Kingdom,1966,,female,103
Alison Knowles,United States,1933,,female,103
Gertrude Käsebier,United States,1852,1934,female,99
Marie Laurencin,France,1883,1956,female,97
Vija Celmins,Latvia,1938,,female,96
Doris Ulmann,United States,1884,1934,female,95
Ellen Gallagher,United States,1965,,female,92
Helen Levitt,United States,1913,2009,female,90
Louise Nevelson,Ukraine,1899,1988,female,90
Kara Walker,United States,1969,,female,90
Louise Lawler,United States,1947,,female,88
VALIE EXPORT,Austria,1940,,female,87
Berenice Abbott,United States,1898,1991,female,86
Ree Morton,United States,1936,1977,female,84
Deanna Templeton,United States,1969,,female,82
Rachel Harrison,United States,1966,,female,81
Jan Groover,United States,1943,2012,female,80
Adrian Piper,United States,1948,,female,79
Martha Rosler,United States,1943,,female,77
Varvara Stepanova,Russia,1894,1958,female,77
Rachel Whiteread,United Kingdom,1963,,female,77
Susanna Duncombe,United Kingdom,1725,1812,female,76
Chryssa,United States,1933,2013,female,75
Eva Zeisel,United States,1906,2011,female,75
Gego (Gertrud Goldschmidt),Germany,1912,1994,female,75
